"","LOO","LOSO","Site"
"Alnmouth",16.2049860888344,25.3106480436004,"Alnmouth"
"Brancaster",10.8945382387683,19.9038358633394,"Brancaster"
"Cowpen",25.1389961962234,29.9287215388994,"Cowpen"
"Thornham",16.1450059104089,18.0403342539057,"Thornham"
"Welwick",11.7228735699976,27.0497385321791,"Welwick"
"Ythan",20.4679143463717,32.1513094868697,"Ythan"
